Company_name,website,location
EV Biotech,https://evbio.tech/,Groningen Netherlands (HQ)
Asthmaware BV,http://www.asthmaware.com/,Haarlem Netherlands (HQ)
STEP Mobility,https://www.ridestep.co/,"Evere Belgium (HQ), Amsterdam Netherlands (founding location)"
Integrated Works,https://integratedworks.nl/,Nieuw-Vennep Netherlands (HQ)
Bimini Biotech,https://biminibiotech.nl/,Leiden Netherlands (HQ)
TargED,https://www.targedbiopharmaceuticals.com/,Utrecht Netherlands (HQ)
Innatera Nanosystems,http://www.innatera.com/,Delft Netherlands (HQ)
BOTS by RevenYOU,http://revenyou.io/,"Haarlem Netherlands (HQ), Haarlem Netherlands"
The Kingfish Company,https://www.the-kingfish-company.com/,"Kats Netherlands (HQ), Maine United States"
Smartenup,https://smartenupcs.com/?lang=en,Amsterdam Netherlands (HQ)
InGoedeBanen,http://www.ingoedebanen.nl/,Groningen Netherlands (HQ)
FireEye,https://www.fireeye.com/,"Milpitas United States (HQ), Amsterdam Netherlands, Dublin Ireland"
Satelligence,https://satelligence.com/,Utrecht Netherlands (HQ)
Rodeo,http://getrodeo.io/,"Amsterdam Netherlands (HQ), New York United States"
Cooper App,https://cooper.app/,"Amsterdam Netherlands (HQ & founding location), San Francisco United States"
TestGorilla,http://testgorilla.com/,Amsterdam Netherlands (HQ)
SendCloud,https://www.sendcloud.com/,"Eindhoven Netherlands (HQ), Paris France, Munich Germany"
MRIguidance,https://mriguidance.com/,Utrecht Netherlands (HQ)
Objective Partners,https://objectivepartners.com/,"Amsterdam Netherlands (HQ), London United Kingdom, Singapore"
Getaround,https://en.getaround.com/,"San Francisco United States (HQ), Amsterdam Netherlands, Paris France (founding location)"
COYO,https://www.coyoapp.com/en/,"Hamburg Germany (HQ), Amsterdam Netherlands"
Pieter Pot,https://www.pieter-pot.nl/,"Rotterdam Netherlands (HQ), Rotterdam Netherlands"
Mycujoo,https://mycujoo.tv/,"Amsterdam Netherlands (HQ), Lisbon Portugal"
Viteezy,https://viteezy.com/,Bussum Netherlands (HQ)
TenCate Advanced Armor,https://www.tencateadvancedarmor.com/,Nijverdal Netherlands (HQ)
Smart2Pay,http://smart2pay.com/,"Laren Netherlands (HQ), San Francisco United States"
Opium,https://opium.network/,Rotterdam Netherlands (HQ)
inRiver,https://www.inriver.com/,"Malmö Sweden (HQ), Chicago United States, Amsterdam Netherlands"
The Protein Brewery B.V.,https://www.theproteinbrewery.nl/,Breda Netherlands (HQ)
We Are Eves,https://weareeves.com/,Amsterdam Netherlands (HQ)
Seafood TIP,http://seafood-tip.com/,Den Haag Netherlands (HQ)
Praxa sense B.V.,http://www.praxasense.com/,Delft Netherlands (HQ)
d-centralize,http://d-centralize.nl/,Netherlands (HQ)
SyncVR,https://syncvr.tech/,Amsterdam Netherlands (HQ)
Medvice,https://www.medvice.io/,"Delft Netherlands (HQ), 's-Hertogenbosch Netherlands"
CloudCuddle,https://cloudcuddle.com/,Delft Netherlands (HQ)
TOMA,https://www.toma.nl/,Volkel Netherlands (HQ)
ECG-Excellence,https://www.ecg-excellence.com/,Nieuwerbrug aan den Rijn Netherlands (HQ & founding location)
